PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
33,1,3,female,27.82482141930693,2,0,88.56521496862956,Q
34,1,2,male,42.164943966537926,5,0,38.12552126545166,S
35,1,3,male,44.04042960760297,5,2,5.246977184484292,S
36,1,3,female,28.261717707216835,3,6,5.524903409190268,S
37,0,3,male,44.17261134458899,2,1,7.339806648168455,S
38,1,1,female,8.00734242746222,3,1,33.62388438627828,C
39,1,2,female,39.65949190869317,0,2,42.536002040668535,S
40,0,3,male,26.82913892976161,3,4,43.51316364490947,S
41,1,3,female,27.410046706797814,3,3,31.990750687652827,S
42,0,3,male,11.054854730897222,1,3,61.12065393784731,S
43,1,3,female,31.17393422769252,0,2,35.15216904727226,C
44,0,2,male,33.62580638441638,2,2,45.11802610685013,C
45,1,3,female,39.36827855227991,5,6,4.873267316791852,S
46,1,3,male,41.145892457959775,0,6,5.129747847626027,C
47,0,3,male,18.952412914408022,1,4,30.054475714239228,S
48,0,3,male,24.40012862313505,2,0,5.2256723674189685,S
49,0,1,male,46.7816246505394,2,2,4.342765108087009,Q
50,0,1,male,33.653670123747645,3,1,7.053183934572926,S
51,0,3,male,23.756262061631304,2,3,21.781372746157157,S
52,1,3,male,16.263115796454795,3,4,3.416854882171625,S
53,0,3,male,14.98580124845878,1,2,16.538929622683614,C
54,1,3,female,26.604180215105217,4,3,31.727778265773903,S
55,0,3,male,39.644191556868634,4,4,9.156426135551268,S
56,0,3,male,0.0,0,6,85.22589543057556,S
57,0,2,female,37.65930063531622,0,1,5.126023224525481,C
58,1,2,female,37.577411090711564,4,2,30.22655050554006,S
59,0,3,male,6.060570112498912,5,6,22.460047904273498,S
60,1,1,female,14.507229069256967,4,4,21.640659151715774,Q
61,0,2,male,40.428224691427985,5,4,21.675284661203076,S
62,1,3,male,0.0,0,3,70.98910437594077,S
63,0,3,male,25.939200292148897,3,5,62.430523930976804,S
64,1,1,female,35.1009504449272,2,2,105.14739152325905,S
65,0,2,male,16.31344420992064,2,5,27.56857094808131,Q
66,1,3,male,56.72724425838564,5,3,71.74207486346685,S
67,0,3,female,21.647030053097282,1,5,6.784140935784775,S
68,1,2,female,15.450631764243937,2,3,34.392182265650646,S
69,0,3,female,37.674799393793,2,3,2.317819084461346,S
70,1,2,male,0.0,4,3,11.396537956928578,S
71,0,1,male,38.402739695004655,4,6,17.35676886950565,Q
72,1,2,female,29.603127296430948,5,3,11.99322634108691,C
73,0,1,male,38.75443271892111,3,4,29.638325173882496,S
74,1,3,male,40.786039603454796,2,0,96.97508831339205,Q
75,1,2,male,30.882237858892097,4,6,36.73657088910044,S
76,1,3,male,26.317294962486763,5,4,163.6624320474421,S
77,1,2,female,30.797408700434268,0,1,23.467349506495427,S
78,1,1,female,29.87906931481146,1,6,24.105251786208534,S
79,1,3,male,12.063812476392215,0,0,2.074323393475264,S
80,1,2,male,31.048700298828244,3,4,34.1408675646262,Q
81,1,1,male,30.51377149424646,5,5,15.446291113861095,Q
82,1,1,male,44.62817096682933,4,3,2.573006181640366,C
83,1,3,female,41.787045763488564,4,5,64.83022323193875,S
84,1,3,female,9.538273323731278,1,1,13.923513138864427,S
85,1,1,male,50.96988078837221,2,0,5.249436275533644,S
86,1,1,male,32.165359794968985,5,2,8.41641998189401,S
87,0,2,male,53.604934273589286,3,4,14.495597008526074,S
88,1,3,female,4.9937927317970505,0,0,19.673289545022,S
89,1,1,female,0.0,4,6,13.76659667757398,S
90,1,3,male,0.0,5,5,100.59017183569686,S
91,0,1,male,49.015749418419276,4,4,8.639072083839261,C
92,1,1,male,27.35733980461268,1,6,66.14563173959516,C
93,1,1,female,45.07434877026644,1,0,1.368913235721033,C
94,1,3,female,42.58283043740855,3,4,24.29077174596046,S
95,0,2,female,37.66140177718613,2,2,2.496240111266663,S
96,0,2,male,20.9383061418745,1,4,64.92224300240143,Q
97,1,3,female,24.121068340608822,2,3,19.269166221709224,S
98,0,2,male,30.464418480549483,0,1,22.371429705763862,C
99,1,2,female,26.334233329390038,1,1,3.786761088728065,C
100,1,1,female,7.500465432499016,5,2,86.14461155413525,C
101,0,3,male,23.286939488185155,0,4,30.211377067844666,S
102,0,2,male,13.519744686676326,4,4,122.19267986478292,Q
103,1,1,female,21.291834843282153,2,0,14.685307878630285,S
104,1,3,female,37.53863485267645,1,0,72.88511446159696,S
105,1,1,female,46.62963776541905,4,6,25.023917800733397,S
106,1,2,male,25.721366193468064,3,0,1.9225025305776418,S
107,1,2,female,43.15744462007109,4,5,14.641798203628824,S
108,1,1,male,52.10667454601406,0,3,0.00389204622245205,C
109,0,1,male,19.65498065000387,0,2,25.37427415515235,S
110,1,3,female,37.74096533439806,1,5,7.80305814233717,Q
111,0,2,male,38.92382135741134,4,4,4.399559253176719,S
112,1,3,male,49.20887355934872,2,3,9.557601090633865,S
113,1,1,female,28.789350986448774,3,2,119.52668427016691,S
114,1,1,female,20.691995920374353,4,2,17.94669509235897,S
115,1,2,female,17.666404813487283,3,5,2.6562309207218284,S
116,0,3,male,30.666437060895014,5,2,74.18045401457164,S
117,1,3,female,43.77174053784505,0,1,24.784522509171545,S
118,1,3,female,32.31999142977247,1,1,95.37730313957792,S
119,1,1,female,46.446496289797906,3,6,10.693869610433529,S
120,1,1,male,24.348199756429906,5,4,1.0962955060021096,S
121,1,3,female,45.378414329595756,2,0,3.7302689416016293,S
122,1,3,female,12.219149094945639,3,5,33.25463221864569,S
123,0,3,female,28.505609960689984,0,6,1.451168804357665,Q
124,0,1,female,27.430396750838277,5,0,11.793177094799487,S
125,0,2,female,45.10421548948579,2,2,111.17103412591933,S
126,1,3,male,17.789031604125647,3,3,5.121032146312334,Q
127,0,3,male,39.98067170315805,0,4,2.7252798656604265,S
128,1,1,female,40.43947000267167,0,4,15.600284858084285,Q
129,1,1,female,60.579404833620885,2,5,96.29300109698656,S
130,1,3,male,34.827319078641594,3,0,96.99232850281925,Q
131,1,2,male,25.857172201774596,1,3,15.695320734139484,S
132,1,3,female,8.468091533499265,5,1,87.75798584660907,S
133,1,3,female,38.24185974771626,2,3,26.153976497588843,Q
134,1,2,male,38.29909797820903,3,0,43.406313395795145,C
135,1,3,female,26.833428279489958,0,5,26.53486673066157,Q
136,1,3,female,39.01282445173385,3,3,51.36263597498068,S
137,1,1,female,38.08368882267098,0,4,16.018239480046613,Q
138,0,2,male,16.58624062341084,0,2,14.03923781231208,S
139,1,2,male,24.619291336360078,5,6,3.4616651803819005,S
140,1,1,male,36.88812329075249,0,6,2.1431551463575285,S
141,0,3,female,34.218469662768406,2,6,3.892299338183871,C
142,1,2,male,29.89305404141523,5,5,12.618693723348418,Q
143,0,1,female,27.03107572307755,2,6,2.523735855849524,C
144,1,3,male,52.54272706267491,5,0,17.408541903224258,Q
145,1,1,male,10.941568775471413,2,6,52.4163774367735,C
146,0,1,male,11.016685342014739,2,2,66.74284941638693,S
147,0,2,male,12.616967053734673,4,4,42.25145616165257,Q
148,0,2,male,41.92682923987583,4,2,4.221381456180752,S
149,1,3,female,36.94844085972773,0,2,49.973574254315245,S
150,1,3,male,2.4238061601785894,0,5,32.3266358566917,S
151,1,1,female,0.0,4,6,29.940397710729318,C
152,0,1,male,43.595801887683855,3,1,5.791395143049624,S
153,0,3,female,64.68974698131692,0,3,1.694646309081776,C
154,0,3,male,10.667257832386468,2,0,35.40488535320436,S
155,1,1,male,38.17307766472333,5,6,53.20230718910407,S
156,0,3,male,48.42901177925857,3,2,17.972545057524382,S
157,1,1,female,35.70680288472574,5,6,41.25934587921431,S
158,1,3,female,11.448528082315352,1,1,13.22075057900126,S
159,1,1,female,30.174762973324064,5,5,20.222257386700864,C
160,0,3,female,24.70849860149844,3,2,9.8524282785291,C
161,1,3,female,43.718933919253615,2,5,19.2575731912097,S
162,1,2,female,16.67584238198239,3,0,2.79526429491256,S
163,0,3,female,39.80468870478496,0,5,57.3910994914705,Q
164,1,3,male,23.612189174784078,0,0,42.005460175487926,S
165,0,3,male,20.949896745699114,2,0,216.14810143413573,S
166,1,3,female,25.809843979367088,1,2,11.970056334729396,S
167,1,3,female,29.62324555398547,3,4,8.414943151445343,S
168,0,2,male,21.848661937816146,5,0,6.275419424600761,S
169,1,1,female,23.911845457530383,4,3,214.11082186370612,Q
170,1,3,female,38.87585448912709,5,0,40.74962618273714,S
171,1,1,male,34.40002767704572,4,1,4.2405809644877435,C
172,0,1,female,24.56080259124765,3,6,24.412148826835477,S
173,1,2,male,38.94800549587161,4,1,14.268293185223262,S
174,1,3,male,37.44523373182853,5,1,62.606276778719575,S
175,0,2,male,21.011955611139157,2,2,18.306209489563166,S
176,1,1,male,19.267583676071922,5,4,21.230438786797265,S
177,0,2,female,19.944784328938013,3,0,10.307021783225604,S
178,1,1,female,45.24066234027926,3,3,28.792132628341275,S
179,1,2,male,60.69263511701364,3,1,32.61729257739822,S
180,1,3,male,44.90153338509284,5,2,54.736232996656895,S
181,1,3,female,39.61424207799236,4,1,42.03051851695302,C
182,1,1,female,32.89999955153406,2,5,28.776867995688963,C
183,1,3,male,16.283430641687744,2,0,13.355870636438492,S
184,1,1,female,34.94973197516238,3,6,62.116748760486246,S
185,0,3,male,37.2265093473175,3,4,34.99723326511348,S
186,1,1,female,37.92329298832471,1,6,23.05007843417922,S
187,1,3,male,11.22630449495993,1,0,12.297851566604313,C
188,1,2,female,22.905257248576604,3,6,24.572028579980117,Q
189,0,2,female,42.5919204539446,0,1,56.149418811087116,C
190,1,2,female,37.66665297692059,5,6,48.20462474827847,C
191,1,1,male,43.3366079201947,5,3,9.954653024413927,S
192,1,3,male,29.349691336014843,5,6,0.6597590381755261,C
193,1,2,female,28.580617619338046,3,1,47.90510650974072,C
194,1,3,female,25.095739140240315,5,2,28.76644922250974,S
195,1,2,female,54.18534987903362,4,4,42.095769645072224,S
196,1,3,female,31.43556533939365,4,1,7.094160437760505,S
197,1,1,male,4.277686490445415,0,6,3.4637590831039176,S
198,0,3,male,41.18056440359581,4,5,41.12692000710196,C
199,0,3,male,35.7269311833658,4,3,9.28846244489554,C
200,1,2,male,21.543201124989544,4,5,37.22081739472144,C
201,1,2,male,19.652228294846196,3,4,2.1218086178627793,S
202,0,3,male,48.14133515125349,1,1,15.544725927944349,C
203,0,3,male,49.62584082603363,0,4,27.481200751936807,S
204,0,3,male,27.759711423525058,1,5,34.91787592646927,C
205,1,3,male,19.17463181862506,5,1,5.549329102082512,S
206,1,3,female,41.01574093862467,1,4,15.138777143712115,C
207,1,1,male,39.36428053031263,3,0,1.4305299874797894,S
208,1,1,female,32.99548705850762,4,1,7.609993100847356,C
209,1,2,female,16.517541224410152,4,2,56.98380206099109,S
210,0,2,male,41.1304763775916,1,5,76.54567124762825,S
211,1,3,female,26.63950679468466,3,0,8.905714744176837,S
212,1,3,female,9.663517013151463,2,5,27.032958566654408,C
213,0,2,male,41.60056583630805,1,0,10.68282135073722,S
214,1,2,female,32.880486960100825,1,2,33.0008233296592,C
215,0,2,female,11.50217744384819,4,3,12.293350732122075,S
216,1,2,male,23.16764677207972,2,4,158.64142616451554,S
217,1,1,female,23.838394045777292,3,5,6.705443016188942,C
218,1,1,male,27.253743257335906,5,4,7.1809442138430235,S
219,1,3,female,57.613986870152004,0,6,44.9349344796306,S
220,0,3,female,20.78576432301461,4,1,12.996618861691585,Q
221,1,1,male,20.929171192844905,3,0,11.237396153523786,C
222,1,3,female,51.78339561609589,1,1,6.927264501926146,S
223,1,3,male,10.088558896515352,0,6,23.708766112569077,S
224,1,3,female,38.56065705457287,0,2,20.303087964992244,S
225,0,1,male,28.724386836986287,1,4,1.3248627104290813,Q
226,1,3,female,1.0083939928205865,3,5,22.965246344675823,Q
227,1,2,male,20.984036611128523,5,3,29.554924630749053,S
228,1,3,female,38.78357771162405,3,2,0.4272562074242912,S
229,1,1,female,3.817145373928497,1,4,4.892796581333444,S
230,1,1,male,30.414251147534873,3,3,2.7904437378314353,S
231,0,3,male,74.98795929932743,4,5,16.67702659423085,S
232,1,2,female,0.0,4,1,16.372621063809994,S
233,0,2,male,48.59394850696282,0,1,1.5779974030801915,S
234,1,3,female,27.45206718200869,4,3,61.95587961062308,C
235,0,3,male,39.733430429492955,1,4,11.550036700402531,C
236,0,2,male,26.714803797761743,3,0,11.912519785122567,S
237,1,3,female,8.169617199402094,1,3,134.29284272229964,Q
238,1,2,male,38.56641469268991,4,0,65.84093722571573,C
239,1,3,male,37.42713740002901,0,3,51.859540755011494,S
240,1,3,female,48.45299014838838,1,3,6.12891651539171,S
241,1,2,female,19.312651179157722,4,2,1.1341248075604227,S
242,1,2,female,38.832309692568664,2,2,20.334939742387526,S
243,0,1,female,49.75690936060677,4,3,104.57693877021235,C
244,1,3,female,31.98973596240223,3,0,37.891766051891544,Q
245,1,3,female,27.9167061071307,1,6,26.251272365950438,S
246,1,3,male,23.243122572297178,0,0,14.74999840775907,S
247,0,2,male,48.374768902971816,3,4,5.53520559615212,S
248,1,1,male,28.514905962710113,3,2,40.13666092415666,S
249,1,3,male,27.282130181658484,0,0,2.859339128047199,S
250,1,3,male,20.43490835143226,5,3,12.334216202960432,C
251,1,1,male,29.16796037209565,2,0,9.667591549699234,Q
252,1,2,female,28.201014375938023,2,4,15.470101803257073,S
253,1,3,female,10.246194681403608,2,5,15.258833281501929,Q
254,0,3,male,30.67876925369902,2,4,20.753010338135656,S
255,1,2,female,31.136531260812976,1,5,78.36954332557931,S
256,1,3,female,38.81613113819518,0,1,30.99959565930308,S
257,1,3,female,26.596817127465155,0,4,38.33542788063176,S
258,0,2,male,32.43928707543982,5,1,28.126162316462196,S
259,1,3,female,37.359718682867474,2,2,9.332130317044857,S
260,1,1,male,19.86457209577517,3,3,0.8331993832813941,Q
261,0,3,male,40.541666046592546,2,4,5.131069702658319,C
262,1,2,male,16.13000930951206,3,0,13.196255344216008,S
263,1,1,male,23.693414486232168,2,3,2.900973252030157,S
264,1,3,male,31.57609643082247,3,3,49.48260539538991,Q
265,0,3,female,13.426961138843751,2,0,21.72500787564692,S
266,1,2,female,40.21790501766786,1,1,33.031970715063636,Q
267,0,1,male,28.83443914721874,0,0,19.01183458593567,S
268,1,3,female,20.46543918444097,1,2,21.18078889206069,S
269,1,2,female,17.26527485754091,1,4,5.624563004173195,S
270,0,3,female,54.75217709380267,5,3,22.139933321024078,C
271,1,3,male,23.158514109861223,3,5,1.7269606065590313,S
272,0,1,male,21.906743197590156,0,4,43.00812502142052,S
273,0,3,male,9.847612995288738,2,0,11.565274981577994,S
274,1,3,female,4.717923303046984,4,3,85.23153968730524,S
275,1,1,male,18.80935137005956,4,0,17.99023694873447,S
276,1,3,female,2.0344292082421482,5,2,29.371326524478334,S
277,1,1,male,24.3351849468949,3,2,53.179428702500886,Q
278,0,3,male,28.87228044875387,5,6,24.635724373978114,S
279,1,1,male,13.298365071175741,3,6,40.65582838711775,S
280,1,3,female,38.95447115372363,2,4,5.060934170995183,S
281,1,2,female,15.60846265602428,1,1,0.4430415602892812,S
282,1,1,female,54.46744646887274,5,3,29.34350921648035,S
283,0,1,male,46.55570398007791,4,5,10.638283505243075,S
284,1,2,male,17.65635792759462,4,4,53.78969106292194,S
285,1,3,female,13.893820713944514,5,6,88.70101507878864,S
286,0,3,male,35.50603241467391,0,2,124.7391059278858,C
287,1,3,female,54.358922597212114,5,5,33.75388750137639,S
288,1,3,male,7.433406291537132,4,5,8.162380424205827,S
289,1,3,male,24.696986096153324,4,6,61.542693058239934,S
290,0,3,female,34.406820661442076,5,5,18.96690188461249,S
291,1,3,female,7.658280517324254,0,0,46.30620275835224,C
292,1,3,female,2.2501111244132943,2,0,23.673434659917422,S
293,1,1,female,30.373634449732574,4,2,4.763366793607491,S
294,0,3,female,25.04767339956981,1,4,31.34912789525497,S
295,1,1,female,18.737570814467908,1,2,27.269076715296748,Q
296,1,2,female,48.05214104870983,4,3,27.551498086871938,S
297,0,2,female,11.296949544824638,3,6,5.628870012526964,S
298,1,1,male,21.082338713209424,2,4,44.57114457281579,C
299,1,1,male,48.0949047939976,0,0,37.344315183530654,C
300,1,3,male,21.68435454958124,0,3,2.666330900781702,Q
301,0,3,male,52.3308166351722,4,4,4.0015326815911525,S
302,1,1,male,0.0,4,4,87.0069975125483,S
303,1,2,female,25.830765012292265,3,1,44.75692139748498,S
304,0,1,male,30.97604947855776,0,4,92.07211089858993,S
305,1,3,female,9.53034391306014,2,6,15.433543664273842,S
306,1,3,female,48.8247311834547,0,0,0.7985102292672818,S
307,1,2,female,60.87892880083693,0,0,44.768265492378696,S
308,1,1,female,0.0,1,2,4.193389548930558,S
309,1,3,female,40.526242091038554,4,5,4.249157714798113,S
310,0,1,male,26.398473198621627,0,6,65.16219058335585,S
311,0,3,male,30.547203451372347,2,4,4.223355161685261,Q
312,0,3,male,53.12972101127382,4,3,6.953662933080934,S
313,0,3,male,37.52236639349128,4,6,6.149139173023413,S
314,0,3,male,32.63411290774158,5,6,54.158413863586276,S
315,1,3,female,21.073992590482742,2,1,17.54763867241764,S
316,1,3,male,38.09150204966535,2,3,47.5605036143983,S
317,1,3,female,52.29346835227928,1,0,14.94081840554339,S
318,1,3,female,34.693157998242675,5,2,10.908046587337868,S
319,0,3,male,15.07819771798123,0,5,43.88516272755056,C
320,0,3,male,46.828968293480294,5,5,20.139216160935675,S
321,0,2,male,43.357138273147044,0,1,12.923192447502792,S
322,1,2,male,34.303828642377034,0,6,0.5918945846546627,C
323,0,2,male,65.89404453693756,5,0,7.988328984137726,S
324,0,3,male,28.734139801917372,3,5,36.62278069270016,S
325,0,3,female,44.43402137740583,4,1,1.20728845374256,S
326,1,1,female,25.506562672741026,4,0,40.96341787677039,C
327,1,3,male,36.805091852010335,0,6,50.76080036035652,Q
328,1,2,female,59.63128845510097,5,5,33.92713384345173,S
329,1,1,female,39.824801965783216,3,4,5.792552491110438,S
330,1,1,female,19.418253085181128,4,0,10.498374458575526,S
331,1,2,female,48.002759692318264,3,1,36.47851050182979,C
332,1,1,female,62.74299789242412,0,5,41.53749785413338,S
333,0,2,female,17.69717796619114,2,2,19.335218023570448,S
334,1,2,female,29.870458628606137,1,3,153.2582657782698,C
335,1,1,female,22.79247766936437,0,3,41.783481760109574,S
336,0,1,female,49.67973785389519,0,5,171.90665498136352,C
337,0,3,female,37.188874419893516,3,5,40.42557574170815,C
338,0,2,male,29.77355966265061,4,0,46.09263360543981,S
339,1,3,female,46.985155503846045,1,5,19.397808036482456,S
340,0,2,male,36.799721900997696,3,1,17.8543736233247,S
341,1,1,male,66.23161208709661,5,0,42.12631254316356,C
342,1,3,male,42.14719680730511,4,6,6.725729800187487,Q
343,1,1,female,18.655621634792503,4,1,19.118795938199046,Q
344,1,2,female,7.737390432727313,4,3,2.814141891938002,S
345,1,3,male,17.081119303729125,4,2,5.550244937253654,S
346,1,3,female,26.142241600421283,2,6,14.541860220333671,S
347,1,3,female,35.68493264974149,4,3,36.56515953093304,S
348,1,3,female,4.368469217843529,3,0,3.0162493571066578,S
349,1,3,female,26.859974434018785,3,4,1.666541113710421,S
350,1,2,female,32.56954487911006,5,5,11.141691809711011,S
351,0,3,female,40.76292428208326,0,4,2.64208703902999,S
352,1,1,male,9.104762142835988,2,2,12.86702837966899,S
353,1,3,male,7.879809522211026,2,0,23.65952726796377,S
354,0,2,female,13.68237651122654,3,2,2.3890123002279937,S
355,0,2,female,46.90952335073351,1,1,6.7529516230722795,S
356,1,2,female,0.0,2,6,67.85856248249578,S
357,1,3,female,33.835667679921315,2,1,34.78202001373511,S
358,1,2,male,23.502940435206682,3,4,0.01535118877912818,S
359,1,1,female,31.403827175428344,4,4,31.939805932404273,S
360,1,1,male,3.311659875435158,1,1,113.58687257993759,S
361,1,2,female,20.086992714365763,0,0,12.53097698603781,S
362,1,1,male,33.23927642202471,0,5,63.78968289286766,C
363,1,1,female,14.963233407926385,2,1,14.612106384515833,S
364,1,3,male,16.670858181152994,4,0,101.7031475087572,C
365,1,3,female,0.0,5,1,106.12466884119708,C
366,1,3,male,17.1737118852889,2,2,18.039642283903277,S
367,1,3,female,54.59264471614466,3,3,47.35985187986583,Q
368,1,3,male,37.99222010903505,5,4,22.87349168342797,C
369,1,3,male,8.836851200345212,3,2,8.978516612248326,S
370,1,1,male,30.752132027726155,3,3,4.508948602190715,S
371,0,3,male,52.95083868585777,1,5,41.67071589029864,C
372,1,3,female,40.156951061306515,0,0,2.1135168948918324,C
373,0,3,male,23.480636615978366,3,4,6.68391084439455,S
374,0,3,male,41.446751198625755,2,6,15.21632756717211,C
375,0,2,male,16.11768142557832,2,3,0.9217898924996395,S
376,1,3,male,20.971091140570476,4,2,2.845377795493892,S
377,1,3,female,51.55781183391273,2,1,13.943572835895592,Q
378,1,3,male,28.94757201313308,1,6,20.091663499928572,S
379,1,3,female,11.90474451116242,4,3,3.275410405740689,S
380,1,3,male,33.98385044865786,0,3,19.757922093018053,S
381,0,3,female,12.946818351867286,0,4,106.07753080250511,S
382,1,3,female,41.2539903407436,2,1,30.38611330146995,Q
383,1,2,female,7.269556976889138,5,5,23.31266896415331,Q
384,1,1,female,22.180912747388348,5,4,5.367291080760874,C
385,1,3,male,48.29897627917346,3,3,18.4586551139464,S
386,0,1,male,29.810739222709618,2,0,27.568378069123217,S
387,1,3,female,1.8833618104518486,1,6,1.895926085701796,S
388,0,2,male,20.70289320903235,0,2,27.891318110669364,S
389,1,3,male,22.292643534449677,2,6,48.65033665157,S
390,1,3,female,61.77936805821344,4,4,12.519286416932939,S
391,1,2,female,47.2676769545177,5,2,57.44770580414033,S
392,0,2,male,29.152551533319684,3,6,3.6042594964361574,S
393,1,1,male,12.591668566352585,1,5,14.443567660802804,S
394,1,3,male,12.263073697090206,1,0,2.336092405429643,C
395,1,3,male,21.500904407137845,5,5,3.1122911740545502,S
396,1,1,female,25.325477882654884,5,1,0.8514878566988623,S
397,1,2,male,28.309657955505912,5,0,23.415961707595446,C
398,0,2,male,19.657451727426583,3,2,10.42221639423067,S
399,1,3,female,54.17092208688043,2,4,17.328520215103374,S
400,1,3,male,37.301252811849054,1,4,6.809484675608134,S
401,0,1,female,43.706131672078854,3,0,31.839955932020032,S
402,0,3,female,56.34497575284285,2,2,55.70029465943387,C
403,1,3,female,29.86681382789254,3,3,2.0048097461934615,S
404,1,3,male,53.628571508813536,5,1,9.534991095472085,S
405,1,3,male,6.7973973027222705,5,5,48.30652802837924,C
406,1,1,male,30.873203482129487,5,4,2.7823854346556223,S
407,1,2,female,0.0,5,2,31.44091197191821,S
408,1,3,female,21.93300334554321,2,5,56.923105958173466,C
409,1,2,female,13.027310525827893,4,6,13.38410844725758,S
410,1,3,male,31.83306794237786,2,6,55.30584963051653,S
411,0,2,male,64.54579553276437,4,2,17.10548815159788,S
412,1,3,female,24.37420547818243,0,3,0.7738151450467609,S
413,1,1,female,31.502693762323982,0,0,8.414701596262104,C
414,1,3,female,30.31685844952155,4,3,205.81216507529066,S
415,1,3,female,43.17421935051604,5,1,7.014230136935757,S
416,0,3,female,42.474682268957174,3,1,74.07159693956837,S
417,1,1,male,56.48510530088672,2,0,17.434946898530672,S
418,0,3,male,50.6336607860633,0,2,11.672010394227314,S
419,0,2,male,51.25816980521468,4,3,5.205291250739362,S
420,1,2,female,9.365895065156877,0,4,15.38509291488095,S
421,0,3,female,38.389581624811285,4,4,129.50921795256258,Q
422,0,3,male,15.191301080582992,3,5,26.733415156247695,S
423,0,3,male,56.11507866103559,0,3,11.21396957859738,S
424,1,1,male,0.0,2,0,0.9318957357265149,C
425,1,3,male,14.791438157833023,1,5,15.446759668621862,S
426,1,1,male,39.98101546927456,3,3,47.15636813077729,C
427,0,3,male,15.685861239057242,3,4,6.214870842206148,S
428,0,2,male,13.471787910561154,3,6,9.280374139709238,S
429,1,1,female,25.089379197081577,3,6,16.031176827164607,S
430,1,2,female,29.83182237521068,1,4,36.699358331023205,S
431,1,3,male,27.061711560451645,4,5,81.85589029218752,S
432,1,2,male,40.57758580864256,1,3,8.295746930605544,Q
433,0,3,male,39.45922053718794,4,6,52.8916947374349,S
434,0,2,male,57.75886329769219,5,6,4.654697611442783,S
435,1,2,female,19.062376302108774,5,0,57.56720173624018,S
436,0,2,male,38.69171902403076,1,1,2.925403423218776,S
437,1,1,female,0.008121884866451268,3,2,9.293849003931696,C
438,1,3,male,13.645417414947577,5,5,4.079715627411006,S
439,1,1,female,3.1127900185598314,0,0,19.136671668206493,S
440,0,3,female,46.50681156031758,3,1,43.16078777858364,S
441,0,3,female,23.21032473017067,2,6,14.173668968310245,S
442,1,1,male,46.25150828103065,4,1,3.2438113411180827,S
443,1,3,female,0.9769550722774056,0,6,23.92744713660566,Q
444,1,3,male,22.65720906937072,1,0,1.4064521678790503,C
445,1,3,male,39.39395253133146,1,5,59.04234374929813,Q
446,0,2,female,18.825970684460188,3,3,60.11862129028947,C
447,0,3,male,49.204097128381186,1,6,26.5436941643964,S
448,1,2,female,32.00203384678303,3,2,55.3387056730565,S
449,1,3,male,28.84053125961231,2,0,3.937397216703663,S
450,0,3,female,28.893595767280658,5,1,50.52342746725416,S
451,1,2,male,28.88687293277688,5,2,26.439574868614706,S
452,0,3,male,17.12572714034581,0,2,61.407064150799975,C
453,1,1,female,28.058509554287486,2,6,93.14834472476943,S
454,1,1,female,39.41680145546453,0,0,15.156059700561304,S
455,1,3,female,54.288050781813354,0,0,3.4343589704619992,S
456,1,2,female,4.753967420894185,1,6,15.831705951073777,S
457,0,3,female,53.37296325070891,3,3,42.66784917717669,S
458,1,1,male,44.24247446754775,5,1,18.915136900210822,C
459,1,3,male,6.526394037995274,5,2,175.66885817568266,S
460,1,1,female,1.3539887653450258,3,4,4.9451903022209125,S
461,1,2,male,31.25423152048339,5,3,17.900733075613303,S
462,1,3,male,61.70270152362677,5,2,4.992449240786279,S
