id,age,workclass,education,education_num,marital_status,occupation,hours_per_week,capital_gain,capital_loss,income
42,39,Private,Assoc,11,Married,Farming-fishing,48,0,0,<=50K
43,54,Self-emp,Some-college,10,Never-married,Machine-op,45,0,0,<=50K
44,45,Private,HS-grad,9,Never-married,Craft-repair,51,5000,0,>50K
45,36,State-gov,9th,6,Divorced,Sales,34,0,0,<=50K
46,50,Local-gov,Bachelors,13,Never-married,Exec-managerial,43,0,0,>50K
47,38,Private,Bachelors,13,Married,Farming-fishing,41,0,0,>50K
48,49,Private,Bachelors,13,Married,Machine-op,48,0,0,<=50K
49,43,Federal-gov,Some-college,10,Married,Craft-repair,38,0,0,<=50K
50,54,Local-gov,Bachelors,13,Never-married,Craft-repair,48,5000,0,>50K
51,34,Private,HS-grad,9,Married,Prof-specialty,48,0,0,<=50K
52,33,State-gov,Assoc,11,Never-married,Tech-support,42,0,0,<=50K
53,54,Federal-gov,Doctorate,18,Married,Craft-repair,34,15000,0,>50K
54,25,Private,Some-college,10,Never-married,Craft-repair,49,0,0,<=50K
55,47,Local-gov,Assoc,11,Never-married,Craft-repair,45,0,0,>50K
56,17,Local-gov,Masters,15,Married,Sales,52,15000,0,>50K
57,40,Federal-gov,Some-college,10,Married,Other-service,31,0,0,<=50K
58,50,Private,HS-grad,9,Widowed,Machine-op,42,0,0,<=50K
59,28,Private,HS-grad,9,Married,Tech-support,33,0,0,>50K
60,43,Private,Bachelors,13,Married,Exec-managerial,60,0,0,>50K
61,21,Federal-gov,Bachelors,13,Never-married,Tech-support,60,0,0,>50K
62,17,Federal-gov,Bachelors,13,Divorced,Craft-repair,54,0,0,<=50K
63,39,Local-gov,Masters,15,Divorced,Sales,40,0,0,<=50K
64,40,Private,Assoc,11,Married,Sales,45,0,0,<=50K
65,59,Private,Bachelors,13,Married,Prof-specialty,41,0,0,>50K
66,47,Local-gov,HS-grad,9,Never-married,Tech-support,55,0,0,<=50K
67,23,State-gov,HS-grad,9,Married,Other-service,17,0,0,<=50K
68,17,Private,Doctorate,18,Married,Sales,39,0,0,>50K
69,43,Private,HS-grad,9,Divorced,Craft-repair,29,0,0,<=50K
70,32,Private,11th,8,Never-married,Craft-repair,31,0,0,<=50K
71,64,Private,Bachelors,13,Married,Tech-support,40,0,0,>50K
72,37,Local-gov,Assoc,11,Never-married,Exec-managerial,37,0,0,<=50K
73,19,Private,Assoc,11,Never-married,Sales,55,0,0,<=50K
74,79,Private,Some-college,10,Married,Sales,52,0,0,>50K
75,30,Private,Bachelors,13,Married,Other-service,28,0,0,<=50K
76,40,Self-emp,Assoc,11,Married,Exec-managerial,30,0,0,>50K
77,51,Private,Doctorate,18,Married,Exec-managerial,61,0,0,>50K
78,30,Private,HS-grad,9,Never-married,Machine-op,34,7500,500,<=50K
79,44,State-gov,Bachelors,13,Never-married,Exec-managerial,39,0,0,<=50K
80,65,Private,Bachelors,13,Never-married,Sales,57,0,0,>50K
81,33,Self-emp,HS-grad,9,Married,Exec-managerial,36,0,0,>50K
82,37,Private,11th,8,Widowed,Sales,35,0,0,<=50K
83,53,Self-emp,Some-college,10,Married,Sales,48,0,0,<=50K
84,41,Private,11th,8,Married,Prof-specialty,40,0,0,>50K
85,31,Private,HS-grad,9,Divorced,Other-service,46,0,0,<=50K
86,35,Local-gov,Some-college,10,Married,Craft-repair,50,0,0,<=50K
87,18,State-gov,HS-grad,9,Married,Farming-fishing,40,0,0,<=50K
88,41,Private,HS-grad,9,Divorced,Prof-specialty,46,0,0,<=50K
89,32,Private,HS-grad,9,Married,Tech-support,44,0,0,<=50K
90,34,State-gov,11th,8,Divorced,Exec-managerial,49,0,0,>50K
91,33,Local-gov,Assoc,11,Married,Other-service,33,0,0,<=50K
92,25,State-gov,Some-college,10,Married,Craft-repair,34,0,0,<=50K
93,41,Self-emp,9th,6,Divorced,Farming-fishing,69,0,0,<=50K
94,41,Private,Some-college,10,Married,Craft-repair,44,0,0,<=50K
95,37,Private,Doctorate,18,Divorced,Exec-managerial,48,0,0,>50K
96,72,Private,11th,8,Married,Machine-op,45,2000,0,<=50K
97,52,Federal-gov,Some-college,10,Married,Farming-fishing,37,0,1500,<=50K
98,35,Private,HS-grad,9,Divorced,Sales,37,0,0,<=50K
99,35,Private,Doctorate,18,Married,Prof-specialty,27,7500,0,>50K
100,37,Private,9th,6,Married,Prof-specialty,41,25000,0,>50K
101,70,Private,Some-college,10,Married,Exec-managerial,61,0,0,>50K
102,28,State-gov,Some-college,10,Divorced,Farming-fishing,50,0,0,<=50K
103,54,Private,HS-grad,9,Married,Prof-specialty,16,0,0,<=50K
104,40,Local-gov,Bachelors,13,Widowed,Prof-specialty,50,0,0,>50K
105,17,Private,Some-college,10,Married,Machine-op,30,0,0,>50K
106,56,State-gov,Some-college,10,Married,Machine-op,50,0,2000,<=50K
107,22,Self-emp,Some-college,10,Never-married,Farming-fishing,59,0,0,<=50K
108,38,State-gov,Bachelors,13,Married,Tech-support,52,0,0,>50K
109,21,Private,Bachelors,13,Widowed,Prof-specialty,48,0,0,>50K
110,41,Private,Some-college,10,Married,Machine-op,29,0,500,<=50K
111,27,Local-gov,HS-grad,9,Married,Craft-repair,29,0,0,<=50K
112,57,Private,HS-grad,9,Widowed,Exec-managerial,34,0,0,<=50K
113,49,Local-gov,Some-college,10,Divorced,Craft-repair,38,0,0,<=50K
114,17,Private,HS-grad,9,Divorced,Machine-op,38,0,0,<=50K
115,32,Private,HS-grad,9,Married,Other-service,65,0,0,>50K
116,51,Federal-gov,Bachelors,13,Married,Prof-specialty,33,7500,0,>50K
117,46,Self-emp,Bachelors,13,Never-married,Craft-repair,51,0,0,<=50K
118,44,Private,Some-college,10,Divorced,Tech-support,42,0,0,>50K
119,38,State-gov,Bachelors,13,Never-married,Machine-op,47,7500,0,>50K
120,52,Private,Some-college,10,Married,Prof-specialty,39,0,0,>50K
121,54,Private,HS-grad,9,Divorced,Craft-repair,49,0,0,>50K
122,47,Private,9th,6,Never-married,Tech-support,38,10000,0,<=50K
123,33,Private,Assoc,11,Never-married,Exec-managerial,55,0,0,<=50K
124,25,Private,9th,6,Widowed,Craft-repair,31,0,0,<=50K
125,51,Federal-gov,Some-college,10,Married,Exec-managerial,37,0,0,<=50K
126,41,Self-emp,Some-college,10,Never-married,Exec-managerial,45,0,0,<=50K
127,30,Private,Masters,15,Divorced,Farming-fishing,53,0,0,>50K
128,57,Self-emp,HS-grad,9,Divorced,Exec-managerial,33,0,0,>50K
129,59,Private,Bachelors,13,Never-married,Exec-managerial,59,0,0,>50K
130,42,Self-emp,Some-college,10,Never-married,Craft-repair,43,0,0,<=50K
131,38,Private,HS-grad,9,Married,Tech-support,59,0,0,<=50K
132,71,State-gov,HS-grad,9,Married,Prof-specialty,34,0,0,<=50K
133,46,State-gov,Bachelors,13,Married,Machine-op,52,0,0,>50K
134,56,Private,Bachelors,13,Divorced,Tech-support,47,0,0,>50K
135,54,Private,Bachelors,13,Divorced,Prof-specialty,31,15000,0,>50K
136,39,Private,Some-college,10,Married,Other-service,40,0,0,<=50K
137,45,Private,Some-college,10,Divorced,Exec-managerial,40,0,0,>50K
138,36,Local-gov,11th,8,Married,Sales,35,0,1000,<=50K
139,65,Self-emp,HS-grad,9,Never-married,Machine-op,31,0,0,>50K
140,37,Federal-gov,11th,8,Divorced,Prof-specialty,26,0,0,<=50K
141,45,Private,HS-grad,9,Divorced,Farming-fishing,46,15000,0,<=50K
142,63,Private,HS-grad,9,Widowed,Craft-repair,28,0,0,<=50K
143,22,State-gov,Some-college,10,Widowed,Exec-managerial,55,0,0,<=50K
144,46,Local-gov,Some-college,10,Never-married,Tech-support,44,0,0,<=50K
145,37,Private,11th,8,Married,Craft-repair,55,0,0,<=50K
146,40,Private,Bachelors,13,Never-married,Craft-repair,32,5000,0,>50K
147,43,Local-gov,Assoc,11,Married,Farming-fishing,39,0,0,<=50K
148,30,Private,Some-college,10,Never-married,Craft-repair,44,0,0,<=50K
149,39,State-gov,11th,8,Divorced,Sales,31,0,0,<=50K
150,47,State-gov,9th,6,Married,Farming-fishing,29,0,0,<=50K
151,61,Self-emp,HS-grad,9,Divorced,Farming-fishing,55,0,0,<=50K
152,34,Self-emp,Some-college,10,Married,Other-service,66,0,2000,<=50K
153,34,Private,HS-grad,9,Never-married,Machine-op,42,0,0,<=50K
154,25,Local-gov,Assoc,11,Married,Prof-specialty,34,0,0,>50K
155,24,Self-emp,11th,8,Never-married,Sales,46,0,0,<=50K
156,51,Private,HS-grad,9,Married,Farming-fishing,49,2000,0,>50K
157,33,Private,Some-college,10,Married,Machine-op,40,0,0,>50K
158,27,Private,Some-college,10,Divorced,Exec-managerial,25,0,0,<=50K
159,60,Private,Some-college,10,Married,Tech-support,54,0,0,<=50K
160,59,Self-emp,Assoc,11,Never-married,Other-service,21,0,0,<=50K
161,61,Private,HS-grad,9,Never-married,Machine-op,56,0,0,<=50K
162,64,Private,Some-college,10,Married,Farming-fishing,33,0,0,<=50K
163,57,Private,Some-college,10,Married,Other-service,22,0,0,<=50K
164,59,Private,Doctorate,18,Never-married,Exec-managerial,65,2000,0,>50K
165,48,Private,Some-college,10,Never-married,Exec-managerial,39,0,0,>50K
166,50,Private,Some-college,10,Married,Other-service,43,0,500,>50K
167,29,Private,Assoc,11,Never-married,Exec-managerial,45,0,0,<=50K
168,37,Private,Bachelors,13,Divorced,Other-service,39,0,0,<=50K
169,41,Federal-gov,Bachelors,13,Married,Prof-specialty,48,0,0,>50K
170,18,State-gov,Doctorate,18,Married,Exec-managerial,50,0,0,>50K
171,54,Federal-gov,Some-college,10,Divorced,Machine-op,47,0,0,<=50K
172,19,Self-emp,HS-grad,9,Married,Prof-specialty,30,0,0,>50K
173,67,Private,Some-college,10,Never-married,Prof-specialty,52,0,0,>50K
174,39,Private,Masters,15,Divorced,Farming-fishing,57,0,0,<=50K
175,40,Private,Some-college,10,Married,Prof-specialty,27,0,0,<=50K
176,56,Private,Bachelors,13,Never-married,Farming-fishing,40,0,0,<=50K
177,37,Private,HS-grad,9,Married,Prof-specialty,24,0,0,>50K
178,70,Private,Assoc,11,Married,Farming-fishing,50,0,0,<=50K
179,31,Private,Bachelors,13,Never-married,Farming-fishing,45,0,0,>50K
180,32,Private,11th,8,Never-married,Prof-specialty,52,0,0,>50K
181,46,Private,HS-grad,9,Divorced,Other-service,52,0,0,<=50K
182,52,State-gov,Assoc,11,Divorced,Other-service,29,0,0,<=50K
183,33,State-gov,Some-college,10,Married,Exec-managerial,33,0,0,>50K
184,46,Private,Some-college,10,Never-married,Exec-managerial,26,0,0,<=50K
185,30,Private,Assoc,11,Never-married,Sales,60,0,0,<=50K
186,47,Local-gov,HS-grad,9,Married,Prof-specialty,36,0,0,<=50K
187,54,Private,Bachelors,13,Married,Tech-support,22,0,0,>50K
188,60,Private,Some-college,10,Never-married,Tech-support,49,0,0,>50K
189,38,Private,Some-college,10,Never-married,Farming-fishing,41,0,0,<=50K
190,34,Private,Bachelors,13,Never-married,Sales,26,0,0,<=50K
191,27,Federal-gov,9th,6,Married,Other-service,36,0,0,<=50K
192,35,Local-gov,Bachelors,13,Married,Prof-specialty,35,0,0,>50K
193,35,Private,HS-grad,9,Married,Exec-managerial,35,0,0,>50K
194,41,State-gov,HS-grad,9,Married,Prof-specialty,38,0,0,>50K
195,17,Private,Some-college,10,Married,Prof-specialty,40,0,0,>50K
196,46,Private,9th,6,Never-married,Exec-managerial,34,0,0,<=50K
197,40,Private,HS-grad,9,Married,Exec-managerial,47,0,0,>50K
198,42,State-gov,Assoc,11,Never-married,Craft-repair,38,0,0,<=50K
199,42,Federal-gov,Bachelors,13,Never-married,Machine-op,29,7500,0,<=50K
200,26,Private,Bachelors,13,Married,Tech-support,44,0,0,<=50K
201,31,Private,HS-grad,9,Never-married,Other-service,35,10000,0,<=50K
202,29,Private,HS-grad,9,Married,Machine-op,31,0,0,<=50K
203,61,Private,Some-college,10,Married,Exec-managerial,28,0,0,>50K
204,31,Private,Bachelors,13,Married,Other-service,35,0,0,>50K
205,51,Self-emp,HS-grad,9,Never-married,Tech-support,34,0,0,<=50K
206,38,Private,HS-grad,9,Never-married,Machine-op,64,0,0,<=50K
207,44,State-gov,HS-grad,9,Widowed,Exec-managerial,53,0,0,<=50K
208,36,Federal-gov,HS-grad,9,Married,Machine-op,35,0,0,<=50K
209,19,State-gov,Some-college,10,Divorced,Exec-managerial,36,0,0,<=50K
210,49,Local-gov,11th,8,Never-married,Prof-specialty,53,0,0,<=50K
211,25,Private,Bachelors,13,Never-married,Craft-repair,20,10000,0,>50K
212,30,Federal-gov,Assoc,11,Never-married,Sales,47,0,0,<=50K
213,38,State-gov,HS-grad,9,Never-married,Craft-repair,46,0,0,<=50K
214,39,Self-emp,HS-grad,9,Never-married,Exec-managerial,49,0,0,<=50K
215,50,Private,HS-grad,9,Never-married,Farming-fishing,16,0,0,<=50K
216,23,State-gov,HS-grad,9,Married,Prof-specialty,52,0,0,<=50K
217,43,Private,11th,8,Never-married,Other-service,57,0,0,<=50K
218,31,Self-emp,11th,8,Widowed,Craft-repair,43,0,0,<=50K
219,58,Local-gov,Some-college,10,Never-married,Exec-managerial,34,0,0,>50K
220,36,Private,Some-college,10,Divorced,Other-service,51,0,0,<=50K
221,42,Self-emp,HS-grad,9,Married,Machine-op,37,0,0,<=50K
222,47,Private,Bachelors,13,Divorced,Machine-op,15,2000,0,>50K
223,20,Private,HS-grad,9,Divorced,Farming-fishing,27,0,0,<=50K
224,46,Self-emp,HS-grad,9,Married,Other-service,43,25000,0,>50K
225,33,Private,Bachelors,13,Married,Other-service,27,0,0,>50K
226,35,Private,Some-college,10,Married,Tech-support,41,0,0,<=50K
227,44,Local-gov,Doctorate,18,Never-married,Machine-op,31,0,0,<=50K
228,43,Private,HS-grad,9,Never-married,Machine-op,33,0,0,<=50K
229,27,Self-emp,Some-college,10,Never-married,Other-service,34,0,0,<=50K
230,42,Federal-gov,HS-grad,9,Married,Prof-specialty,24,0,0,>50K
231,31,Private,Some-college,10,Married,Farming-fishing,25,0,0,<=50K
232,40,Private,11th,8,Never-married,Exec-managerial,41,0,0,>50K
233,34,Private,9th,6,Never-married,Sales,39,0,0,<=50K
234,38,Private,Bachelors,13,Never-married,Exec-managerial,42,0,1000,<=50K
235,17,Private,Bachelors,13,Never-married,Other-service,49,0,0,<=50K
236,18,Local-gov,Doctorate,18,Never-married,Other-service,34,0,0,>50K
237,45,Self-emp,HS-grad,9,Never-married,Exec-managerial,39,0,0,<=50K
238,41,Private,11th,8,Divorced,Other-service,52,25000,0,<=50K
239,21,State-gov,HS-grad,9,Never-married,Other-service,46,0,0,<=50K
240,37,Local-gov,HS-grad,9,Married,Exec-managerial,52,0,0,<=50K
241,38,Private,Bachelors,13,Married,Other-service,56,0,2000,<=50K
242,34,Private,Doctorate,18,Married,Tech-support,45,25000,0,>50K
243,29,Local-gov,HS-grad,9,Married,Craft-repair,23,0,0,<=50K
244,32,Private,HS-grad,9,Married,Sales,34,0,0,<=50K
245,17,Self-emp,HS-grad,9,Married,Sales,51,0,0,<=50K
246,72,Private,HS-grad,9,Married,Machine-op,42,0,0,<=50K
247,43,Private,Doctorate,18,Married,Exec-managerial,34,0,0,>50K
248,27,Self-emp,11th,8,Never-married,Machine-op,43,0,0,<=50K
249,45,Private,Bachelors,13,Widowed,Farming-fishing,37,0,0,<=50K
250,48,State-gov,Some-college,10,Never-married,Exec-managerial,33,2000,0,>50K
251,33,Private,Assoc,11,Married,Prof-specialty,29,0,0,>50K
252,44,Self-emp,11th,8,Married,Sales,39,0,0,<=50K
253,42,Private,Bachelors,13,Never-married,Prof-specialty,37,0,0,<=50K
254,25,Private,HS-grad,9,Married,Farming-fishing,32,0,0,<=50K
255,47,Private,Bachelors,13,Married,Prof-specialty,52,0,0,>50K
256,53,Private,HS-grad,9,Widowed,Exec-managerial,38,0,2000,>50K
257,44,Federal-gov,Bachelors,13,Married,Machine-op,32,0,0,<=50K
258,65,Private,Some-college,10,Married,Exec-managerial,50,0,0,>50K
259,17,State-gov,11th,8,Never-married,Other-service,45,0,0,<=50K
260,23,Federal-gov,Some-college,10,Married,Machine-op,25,0,0,<=50K
261,50,Self-emp,Assoc,11,Never-married,Exec-managerial,32,0,0,<=50K
262,32,State-gov,11th,8,Widowed,Tech-support,40,0,0,>50K
263,38,Private,HS-grad,9,Never-married,Exec-managerial,49,0,0,>50K
264,46,Self-emp,HS-grad,9,Never-married,Other-service,53,0,0,<=50K
265,36,Federal-gov,HS-grad,9,Married,Machine-op,20,15000,0,>50K
266,36,Private,Some-college,10,Never-married,Exec-managerial,17,0,1000,<=50K
267,32,Private,Some-college,10,Never-married,Craft-repair,48,2000,0,<=50K
268,41,Private,HS-grad,9,Married,Machine-op,31,0,0,<=50K
269,29,Private,HS-grad,9,Divorced,Other-service,23,0,0,<=50K
270,32,Private,11th,8,Married,Other-service,41,0,0,<=50K
271,17,Private,HS-grad,9,Married,Tech-support,32,2000,0,>50K
272,54,Private,Some-college,10,Never-married,Prof-specialty,52,0,0,>50K
273,43,Private,Bachelors,13,Never-married,Prof-specialty,47,0,1000,>50K
274,17,Private,HS-grad,9,Divorced,Machine-op,57,0,0,<=50K
275,52,Private,11th,8,Married,Machine-op,36,0,0,<=50K
276,26,Self-emp,Bachelors,13,Never-married,Machine-op,16,7500,0,>50K
277,52,Private,HS-grad,9,Married,Exec-managerial,52,0,0,>50K
278,56,Private,11th,8,Married,Sales,55,0,0,>50K
279,22,Federal-gov,Some-college,10,Married,Exec-managerial,33,0,1500,>50K
280,24,Private,HS-grad,9,Divorced,Craft-repair,41,0,0,<=50K
281,38,Private,Bachelors,13,Married,Craft-repair,27,0,0,>50K
282,39,Private,Some-college,10,Never-married,Tech-support,41,0,0,>50K
283,38,Private,HS-grad,9,Never-married,Machine-op,44,0,0,<=50K
284,27,Private,Assoc,11,Never-married,Machine-op,46,0,0,<=50K
285,43,Private,Bachelors,13,Married,Sales,36,0,0,>50K
286,61,Private,Bachelors,13,Married,Farming-fishing,36,0,0,<=50K
287,17,Private,9th,6,Married,Prof-specialty,52,10000,0,>50K
288,39,Private,Bachelors,13,Married,Sales,47,0,0,<=50K
289,17,Self-emp,Masters,15,Married,Other-service,61,0,0,<=50K
290,66,Self-emp,Bachelors,13,Married,Farming-fishing,27,15000,0,>50K
291,46,Self-emp,Masters,15,Never-married,Craft-repair,7,0,0,<=50K
292,28,Private,HS-grad,9,Divorced,Sales,44,0,0,<=50K
293,51,Private,9th,6,Married,Machine-op,45,0,0,>50K
294,49,Self-emp,Bachelors,13,Divorced,Prof-specialty,48,2000,0,>50K
295,51,Private,HS-grad,9,Married,Prof-specialty,27,0,0,>50K
296,44,Private,Bachelors,13,Never-married,Craft-repair,48,0,0,<=50K
297,24,State-gov,HS-grad,9,Never-married,Exec-managerial,46,0,1500,<=50K
298,18,Self-emp,Masters,15,Married,Sales,38,0,0,>50K
299,39,Private,Some-college,10,Married,Tech-support,51,0,0,<=50K
300,49,Local-gov,Some-college,10,Married,Exec-managerial,46,0,0,>50K
301,17,Private,Some-college,10,Never-married,Other-service,39,0,1000,<=50K
302,48,Self-emp,Bachelors,13,Married,Craft-repair,50,0,0,<=50K
303,36,Self-emp,Bachelors,13,Married,Farming-fishing,41,0,0,<=50K
304,46,Self-emp,11th,8,Never-married,Prof-specialty,38,0,0,<=50K
305,28,Private,Bachelors,13,Never-married,Sales,44,0,0,<=50K
306,68,Federal-gov,11th,8,Married,Craft-repair,35,0,0,<=50K
307,42,Local-gov,9th,6,Divorced,Exec-managerial,30,0,0,<=50K
308,28,State-gov,Assoc,11,Married,Machine-op,55,0,500,<=50K
309,43,Local-gov,HS-grad,9,Married,Craft-repair,30,0,0,>50K
310,34,Private,11th,8,Never-married,Prof-specialty,46,0,0,<=50K
311,36,Private,HS-grad,9,Married,Prof-specialty,29,7500,0,>50K
312,37,Local-gov,Some-college,10,Never-married,Exec-managerial,34,0,0,<=50K
313,29,Private,HS-grad,9,Never-married,Craft-repair,41,0,0,<=50K
314,27,Self-emp,Some-college,10,Married,Other-service,48,0,0,<=50K
315,45,State-gov,Some-college,10,Never-married,Exec-managerial,61,0,0,<=50K
316,43,Self-emp,Some-college,10,Never-married,Other-service,41,0,0,<=50K
317,41,Self-emp,Some-college,10,Married,Other-service,22,0,0,<=50K
318,49,State-gov,HS-grad,9,Never-married,Farming-fishing,42,0,0,<=50K
319,44,Local-gov,Masters,15,Married,Other-service,28,0,0,>50K
320,53,Federal-gov,Some-college,10,Never-married,Tech-support,52,0,0,<=50K
321,29,Federal-gov,Masters,15,Married,Farming-fishing,53,0,0,>50K
322,36,Self-emp,Bachelors,13,Married,Machine-op,25,0,0,<=50K
323,39,Private,Assoc,11,Never-married,Prof-specialty,42,0,0,<=50K
324,39,Private,Some-college,10,Divorced,Exec-managerial,46,0,1000,<=50K
325,46,State-gov,Masters,15,Widowed,Prof-specialty,33,0,0,>50K
326,37,Local-gov,HS-grad,9,Married,Other-service,26,0,0,<=50K
327,38,Private,9th,6,Married,Farming-fishing,57,0,0,<=50K
328,29,State-gov,Assoc,11,Never-married,Craft-repair,28,7500,0,>50K
329,38,Private,Some-college,10,Married,Exec-managerial,46,7500,0,>50K
330,17,Local-gov,HS-grad,9,Married,Sales,51,0,0,>50K
331,39,Private,9th,6,Never-married,Exec-managerial,29,0,0,<=50K
332,40,Private,Some-college,10,Married,Other-service,46,0,0,<=50K
333,36,Local-gov,Some-college,10,Married,Exec-managerial,50,0,0,>50K
334,50,Private,11th,8,Never-married,Farming-fishing,35,0,0,<=50K
335,44,Private,Assoc,11,Married,Other-service,44,0,0,<=50K
336,17,Private,9th,6,Never-married,Other-service,43,2000,0,<=50K
337,56,Private,HS-grad,9,Never-married,Craft-repair,30,0,0,<=50K
338,31,Local-gov,Some-college,10,Married,Other-service,29,0,0,<=50K
339,31,Private,11th,8,Married,Farming-fishing,48,0,0,>50K
340,42,Private,HS-grad,9,Married,Other-service,57,5000,0,<=50K
341,46,Private,HS-grad,9,Married,Sales,41,0,0,<=50K
342,39,Private,HS-grad,9,Divorced,Machine-op,29,0,0,<=50K
343,49,Self-emp,Assoc,11,Divorced,Sales,39,0,0,<=50K
344,22,Federal-gov,Bachelors,13,Married,Other-service,26,0,0,<=50K
345,17,Private,Bachelors,13,Married,Craft-repair,39,10000,0,<=50K
346,45,State-gov,11th,8,Married,Prof-specialty,53,0,0,>50K
347,17,Private,Some-college,10,Never-married,Farming-fishing,54,0,0,<=50K
348,44,Local-gov,Assoc,11,Married,Sales,36,0,0,<=50K
349,36,Federal-gov,Bachelors,13,Widowed,Prof-specialty,34,0,0,>50K
350,23,Private,Masters,15,Married,Machine-op,35,0,0,>50K
351,30,Private,Assoc,11,Never-married,Exec-managerial,37,0,0,>50K
352,48,Private,Bachelors,13,Married,Prof-specialty,49,0,0,>50K
353,38,Federal-gov,11th,8,Married,Farming-fishing,37,0,0,<=50K
354,21,Private,11th,8,Married,Prof-specialty,44,0,0,<=50K
355,63,Private,Some-college,10,Never-married,Farming-fishing,45,2000,0,<=50K
356,60,Self-emp,HS-grad,9,Never-married,Farming-fishing,54,0,0,>50K
357,49,Private,HS-grad,9,Married,Machine-op,56,0,0,<=50K
358,46,Private,Some-college,10,Married,Other-service,43,0,2000,<=50K
359,39,Federal-gov,HS-grad,9,Married,Prof-specialty,47,0,0,>50K
360,38,Local-gov,HS-grad,9,Divorced,Tech-support,63,0,0,>50K
361,39,Private,Doctorate,18,Never-married,Prof-specialty,54,0,0,>50K
362,46,Local-gov,11th,8,Divorced,Tech-support,27,0,1500,<=50K
363,61,Self-emp,Assoc,11,Never-married,Farming-fishing,36,0,0,<=50K
364,20,Self-emp,Assoc,11,Married,Prof-specialty,42,5000,0,>50K
365,46,Private,Bachelors,13,Divorced,Machine-op,33,7500,0,>50K
366,21,Local-gov,HS-grad,9,Married,Prof-specialty,47,0,0,>50K
367,31,Private,9th,6,Never-married,Prof-specialty,49,25000,2000,<=50K
368,42,Private,Assoc,11,Never-married,Exec-managerial,35,0,0,>50K
369,46,State-gov,Bachelors,13,Married,Exec-managerial,28,0,0,>50K
370,40,Private,HS-grad,9,Married,Machine-op,21,0,0,<=50K
371,24,Private,Masters,15,Divorced,Exec-managerial,25,0,0,>50K
372,20,State-gov,Assoc,11,Divorced,Machine-op,40,0,0,<=50K
373,24,Self-emp,HS-grad,9,Married,Exec-managerial,43,0,0,>50K
374,40,Private,11th,8,Never-married,Exec-managerial,59,0,0,<=50K
375,28,Private,Some-college,10,Married,Sales,36,25000,0,<=50K
376,54,Self-emp,Doctorate,18,Married,Other-service,31,0,0,<=50K
377,58,Private,HS-grad,9,Married,Prof-specialty,34,15000,0,>50K
