고객_ID,나이,월_수입,구매_경향_점수,충성도_포인트,방문_횟수,평균_구매액,구매
256,54,2566,93,1943,36,438,1
257,26,1784,56,1573,29,151,0
258,35,3944,16,1442,18,385,0
259,45,1511,46,1629,2,167,0
260,21,3130,22,1118,1,333,0
261,20,4873,78,1840,47,155,1
262,31,4824,100,1604,5,455,1
263,24,4046,84,317,20,302,1
264,56,2253,13,1979,11,162,0
265,51,3582,65,235,42,441,0
266,28,4274,74,1969,2,202,0
267,60,4396,50,333,3,446,0
268,54,1589,37,1908,23,472,0
269,38,2275,63,375,12,82,1
270,35,4152,97,1482,20,408,1
271,22,4517,37,1160,5,314,0
272,39,3125,49,1953,37,386,1
273,43,4569,97,587,38,353,0
274,52,1917,81,1570,30,461,1
275,43,1614,29,512,9,149,0
276,30,2116,78,1319,34,196,1
277,27,4767,90,1343,44,302,1
278,55,2325,50,917,35,70,0
279,57,3149,62,1595,22,494,1
280,59,3016,97,1855,44,436,1
281,39,4646,51,1372,24,389,1
282,54,1912,37,1863,17,207,1
283,44,4947,96,1802,10,304,1
284,54,4991,87,872,30,449,1
285,44,2228,78,1252,46,328,1
286,48,4848,29,269,23,311,0
287,37,4568,50,1851,32,353,1
288,37,4308,80,797,17,20,0
289,21,2175,4,1314,17,71,1
290,54,4965,28,724,14,342,0
291,35,3392,3,1188,9,235,0
292,60,4004,9,4,40,162,0
293,55,4467,55,850,2,208,0
294,52,3739,16,1402,45,61,1
295,23,4286,73,77,25,269,0
296,52,2622,16,1433,39,68,0
297,33,3071,83,573,9,81,1
298,40,2477,87,131,22,157,1
299,39,2508,68,600,43,358,1
300,27,3643,33,1772,46,72,0
