고객_ID,나이,월_수입,구매_경향_점수,충성도_포인트
245,24,1950,33,80
246,38,3400,76,600
247,28,2500,49,240
248,46,4150,87,1000
249,32,3000,59,390
250,20,1550,21,15
251,37,3350,73,640
252,27,2350,46,210
253,41,3850,81,880
254,29,2650,53,310
255,23,1800,28,60
256,35,3200,70,650
257,26,2200,40,160
258,43,4000,83,930
259,30,2800,57,340
260,24,1900,34,90
261,38,3450,77,610
262,28,2450,47,220
263,45,4100,85,950
264,32,3000,60,400
265,22,1900,30,75
266,34,3150,69,520
267,27,2250,41,150
268,42,3900,81,900
269,29,2700,53,290
270,23,1850,29,65
271,36,3300,71,670
272,26,2150,38,130
273,41,3800,79,870
274,30,2900,56,340
275,24,2000,35,95
276,38,3500,78,620
277,27,2400,45,230
278,45,4100,86,980
279,32,3050,61,420
280,21,1750,26,40
281,35,3250,72,680
282,28,2300,42,170
283,43,4050,82,910
284,29,2750,54,300
285,23,1900,31,70
286,34,3150,67,510
287,27,2200,44,200
288,44,4000,84,940
289,31,2850,58,350
290,22,1850,27,50
291,36,3300,72,680
292,26,2250,39,140
293,42,3950,80,890
294,30,2700,55,330
295,24,1950,33,80
296,38,3400,76,600
297,28,2500,49,240
298,46,4150,87,1000
299,32,3000,59,390
300,20,1550,21,15
